519	182
519	182
519	182
519	182
519	182
519	182
514	180
470	165
367	129
261	91
171	60
101	35
49	17
0	0
1012	356
962	338
909	319
859	302
807	283
757	266
711	250
665	234
614	216
552	194
491	172
436	153
368	129
281	98
239	84
337	118
432	152
525	184
622	218
706	248
799	281
881	310
959	337
925	325
871	306
808	284
800	281
874	307
940	330
925	325
822	289
679	238
546	192
397	139
272	95
175	61
93	32
25	8
1010	355
919	323
841	295
850	299
958	337
0	0
93	32
199	70
312	109
274	96
173	60
78	27
70	24
70	24
69	24
